section,item,field,en_text
amenities,Areka,amenities[0].name,Private Equipped Bathroom
amenities,Areka,amenities[0].icon,bath
amenities,Areka,amenities[1].name,Private Equipped Kitchen
amenities,Areka,amenities[1].icon,kitchen
amenities,Areka,amenities[2].name,A/C
amenities,Areka,amenities[2].icon,ac
amenities,Areka,amenities[3].name,WiFi
amenities,Areka,amenities[3].icon,wifi
amenities,Areka,amenities[4].name,Unfenced Parking
amenities,Areka,amenities[4].icon,parking
amenities,Plumeria,displayName,Casa Plumeria
amenities,Plumeria,amenities[0].name,Private Equipped Bathroom
amenities,Plumeria,amenities[0].icon,bath
amenities,Plumeria,amenities[1].name,Private Equipped Kitchen
amenities,Plumeria,amenities[1].icon,kitchen
amenities,Plumeria,amenities[2].name,A/C
amenities,Plumeria,amenities[2].icon,ac
amenities,Plumeria,amenities[3].name,WiFi
amenities,Plumeria,amenities[3].icon,wifi
amenities,Plumeria,amenities[4].name,Unfenced Parking
amenities,Plumeria,amenities[4].icon,parking
amenities,Giulia,displayName,Casa Giulia
amenities,Giulia,amenities[0].name,Private Equipped Bathroom
amenities,Giulia,amenities[0].icon,bath
amenities,Giulia,amenities[1].name,Private Equipped Kitchen
amenities,Giulia,amenities[1].icon,kitchen
amenities,Giulia,amenities[2].name,2 A/C
amenities,Giulia,amenities[2].icon,ac
amenities,Giulia,amenities[3].name,WiFi
amenities,Giulia,amenities[3].icon,wifi
amenities,Giulia,amenities[4].name,Unfenced Parking
amenities,Giulia,amenities[4].icon,parking
amenities,VillaMar,displayName,Villa Mar
amenities,VillaMar,amenities[0].name,Private Pool
amenities,VillaMar,amenities[0].icon,pool
amenities,VillaMar,amenities[1].name,Private Equipped Bathroom
amenities,VillaMar,amenities[1].icon,bath
amenities,VillaMar,amenities[2].name,Private Equipped Kitchen
amenities,VillaMar,amenities[2].icon,kitchen
amenities,VillaMar,amenities[3].name,2 A/C Units
amenities,VillaMar,amenities[3].icon,ac
amenities,VillaMar,amenities[4].name,Private unfenced Parking
amenities,VillaMar,amenities[4].icon,parking
amenities,VillaMar,amenities[5].name,100Mbps WiFi
amenities,VillaMar,amenities[5].icon,wifi
amenities,VillaCoral,displayName,Villa Coral
amenities,VillaCoral,amenities[0].name,Private Pool
amenities,VillaCoral,amenities[0].icon,pool
amenities,VillaCoral,amenities[1].name,Private Equipped Bathroom
amenities,VillaCoral,amenities[1].icon,bath
amenities,VillaCoral,amenities[2].name,Private Equipped Kitchen
amenities,VillaCoral,amenities[2].icon,kitchen
amenities,VillaCoral,amenities[3].name,2 A/C Units
amenities,VillaCoral,amenities[3].icon,ac
amenities,VillaCoral,amenities[4].name,Private unfenced Parking
amenities,VillaCoral,amenities[4].icon,parking
amenities,VillaCoral,amenities[5].name,100Mbps WiFi
amenities,VillaCoral,amenities[5].icon,wifi
listing,Areka,seoTitle,Casa Areka - Couples Retreat with A/C
listing,Areka,seoDescription,"New fully equipped Bungalows with A/C located 200mts from the beautiful Playa Chiquita beach, in one of the safest and calm neighborhoods in the Caribbean. A few minutes from Puerto Viejo and Manzanillo, we are perfectly located to visit Punta Uva beach and Arrecife."
listing,Areka,heading,Casa Areka
listing,Areka,featureName,House Areka
listing,Areka,checkIn,3:00 PM
listing,Areka,checkOut,12:00 PM (noon)
listing,Areka,paragraphs[0],"New fully equipped Bungalows with A/C located 200mts from the beautiful Playa Chiquita beach, in one of the safest and calm neighborhoods in the Caribbean. A few minutes from Puerto Viejo and Manzanillo, we are perfectly located to visit Punta Uva beach and Arrecife."
listing,Areka,paragraphs[1],"The space, completely private, has A/C, fully equipped kitchen and a private bathroom with hot water. The parking space is private, spacious and outside of the property. Every house has a small porch for our guests."
listing,Areka,paragraphs[2],"All of the spaces described here are private, including the fully equipped kitchen and bathroom. You'll have everything you need to make yourself at home."
listing,Areka,paragraphs[3],"Close by you may find restaurants, supermarkets, and bike rentals. We trust our guests to follow common sense when leaving our house, that's why we have 0 check-out rules and no check-out list."
listing,Areka,paragraphs[4],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,Areka,paragraphs[5],"Puerto Viejo is a popular destination for tourists from all over the world, thanks to its stunning surroundings. The town boasts immense beaches that are surrounded by tropical rainforest, as well as two National Parks (Manzanillo and Cahuita). At night, the town comes alive with a lively and active nightlife scene. When you stay here, you'll be able to fully immerse yourself in everything that makes Puerto Viejo unique."
listing,Delfin,seoTitle,Casa Delfines - Puerto Viejo Vacation Home Rental
listing,Delfin,seoDescription,"Welcome to Reservas Kalawala. Located in the heart of town, this house accommodates up to 6 guests with fully equipped kitchen, 2 bathrooms, 2 A/C units, and private parking for 2 cars."
listing,Delfin,heading,Casa Delfines
listing,Delfin,featureName,House Delfin
listing,Delfin,checkIn,3:00 PM
listing,Delfin,checkOut,12:00 PM (noon)
listing,Delfin,paragraphs[0],"Welcome to Reservas Kalawala. Located in the heart of town, this house accommodates up to 6 guests with fully equipped kitchen, 2 bathrooms, 2 A/C units (not in kitchen or living room), and private parking. Our prime location offers easy access to both the town center and the most beautiful beaches that Puerto Viejo has to offer."
listing,Delfin,paragraphs[1],"All of the spaces described here are private, including the fully equipped kitchen and bathrooms. You'll have everything you need to make yourself at home."
listing,Delfin,paragraphs[2],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,Delfin,paragraphs[3],"Puerto Viejo is a popular destination for tourists from all over the world, thanks to its stunning surroundings. The town boasts immense beaches that are surrounded by tropical rainforest, as well as two National Parks (Manzanillo and Cahuita). At night, the town comes alive with a lively and active nightlife scene. When you stay here, you'll be able to fully immerse yourself in everything that makes Puerto Viejo unique."
listing,Delfin,paragraphs[4],"The house is located close to beach access that eventually leads to Cocles. Along the way, you'll have the opportunity to spot a variety of animals and admire natural pools in the coral. There's even a hidden sightseeing spot waiting to be discovered!"
listing,Delfin,paragraphs[5],"Getting around in Puerto Viejo and its surroundings is easiest by renting a bike or a scooter. However, there is also a reliable public bus service available that can take you to Cahuita, Manzanillo, and Sixaola. If you prefer to drive, we can accommodate cars as well. We offer private parking but please let us know if you have a larger pickup truck that requires additional space."
listing,Geco,seoTitle,Casa Geco - Pet Friendly Home in Puerto Viejo
listing,Geco,seoDescription,"Located in the heart of town, this house has space for up to 5 people and features a fully equipped kitchen, a bathroom, 2 A/C units, and a private parking lot."
listing,Geco,heading,Casa Geco
listing,Geco,featureName,House Geco
listing,Geco,checkIn,2:00 PM
listing,Geco,checkOut,11:00 AM
listing,Geco,paragraphs[0],"Located in the heart of town, this house has space for up to 5 people and features a fully equipped kitchen, a bathroom, 2 A/C units, and a private parking lot. Our prime location offers easy access to both the town center and the most beautiful beaches that Puerto Viejo has to offer."
listing,Geco,paragraphs[1],"Most shops and restaurants are just a short walk away, and there is a nearby jungle path that runs along the ocean and leads to natural pools in the coral and to Cocles."
listing,Geco,paragraphs[2],"All of the spaces described here are private, including the fully equipped kitchen and bathroom. You'll have everything you need to make yourself at home."
listing,Geco,paragraphs[3],We offer cleaning services for reservations of 5 nights or longer. Our team will contact you during your stay to coordinate a convenient time for the cleaning.
listing,Geco,paragraphs[4],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,Geco,paragraphs[5],"If you require a pack- and - play crib during your stay, please inform us ahead of time. We'll make sure to set it up in your room during our cleaning process."
listing,Geco,paragraphs[6],"Puerto Viejo is a popular destination for tourists from all over the world, thanks to its stunning surroundings. The town boasts immense beaches that are surrounded by tropical rainforest, as well as two National Parks (Manzanillo and Cahuita). At night, the town comes alive with a lively and active nightlife scene. When you stay here, you'll be able to fully immerse yourself in everything that makes Puerto Viejo unique."
listing,Geco,paragraphs[7],"The house is located close to beach access that eventually leads to Cocles. Along the way, you'll have the opportunity to spot a variety of animals and admire natural pools in the coral. There's even a hidden sightseeing spot waiting to be discovered!"
listing,Geco,paragraphs[8],"Getting around in Puerto Viejo and its surroundings is easiest by renting a bike or a scooter. However, there is also a reliable public bus service available that can take you to Cahuita, Manzanillo, and Sixaola. If you prefer to drive, we can accommodate cars as well. We offer private parking but please let us know if you have a larger pickup truck that requires additional space."
listing,Giulia,seoTitle,Casa Giulia - Family Retreat
listing,Giulia,seoDescription,"New fully equipped Bungalows with A/C located 200mts from the beautiful Playa Chiquita beach, in one of the safest and calm neighborhoods in the Caribbean. Perfect for families up to 4 people."
listing,Giulia,heading,Casa Giulia
listing,Giulia,featureName,House Giulia
listing,Giulia,checkIn,3:00 PM
listing,Giulia,checkOut,12:00 PM (noon)
listing,Giulia,paragraphs[0],"Escape to Puerto Viejo in our home with A/C, gas kitchen, and a spacious closet. Relax on your private covered patio. Our home is located just 200 meters from the stunning Playa Chiquita beach, in one of the safest and calmest neighborhoods in the Caribbean. Explore nearby attractions like Puerto Viejo, Manzanillo, Punta Uva beach, and Arrecife from our perfect location."
listing,Giulia,paragraphs[1],"The space, completely private, has 2 A/C units, fully equipped kitchen and 2 private bathrooms with hot water. The parking space is private, for one car, and outside of the property. The house has a porch for our guests. ✓ A/C ✓ kitchen ✓ wifi ✓ private porch ✓ private parking."
listing,Giulia,paragraphs[2],"All of the spaces described here are private, including the fully equipped kitchen and bathrooms. You'll have everything you need to make yourself at home."
listing,Giulia,paragraphs[3],"Close by you may find restaurants, supermarkets, and bike rentals. We trust our guests to follow common sense when leaving our house, that's why we have 0 check-out rules and no check-out list."
listing,Giulia,paragraphs[4],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,Giulia,paragraphs[5],"Puerto Viejo is a popular destination for tourists from all over the world, thanks to its stunning surroundings. The town boasts immense beaches that are surrounded by tropical rainforest, as well as two National Parks (Manzanillo and Cahuita). At night, the town comes alive with a lively and active nightlife scene. When you stay here, you'll be able to fully immerse yourself in everything that makes Puerto Viejo unique."
listing,Pappagallo,seoTitle,Casa Pappagallo - Fully equipped Home in Puerto Viejo
listing,Pappagallo,seoDescription,"Welcome to Kalawala, a charming complex of two apartments located in the heart of Puerto Viejo. Each apartment is built entirely of wood and is situated above a delightful Italian bakery and are equipped with everything you need for a comfortable stay."
listing,Pappagallo,heading,Casa Pappagallo
listing,Pappagallo,featureName,House Pappagallo
listing,Pappagallo,checkIn,2:00 PM
listing,Pappagallo,checkOut,11:00 AM
listing,Pappagallo,paragraphs[0],"Welcome to Kalawala, a charming complex of two apartments located in the heart of Puerto Viejo. Each apartment is built entirely of wood and is situated above a delightful Italian bakery. The apartments are equipped with everything you need for a comfortable stay, including a fully equipped kitchen, two cozy bedrooms, a lovely terrace, two A/C units, and one well equipped bathroom."
listing,Pappagallo,paragraphs[1],"All of the spaces described here are private, including the fully equipped kitchen and bathroom. You'll have everything you need to make yourself at home."
listing,Pappagallo,paragraphs[2],We offer cleaning services for reservations of 5 nights or longer. Our team will contact you during your stay to coordinate a convenient time for the cleaning.
listing,Pappagallo,paragraphs[3],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,Pappagallo,paragraphs[4],"If you require a pack - and - play crib during your stay, please inform us ahead of time. We'll make sure to set it up in your room during our cleaning process."
listing,Pappagallo,paragraphs[5],"Puerto Viejo is a popular destination for tourists from all over the world, thanks to its stunning surroundings. The town boasts immense beaches that are surrounded by tropical rainforest, as well as two National Parks (Manzanillo and Cahuita). At night, the town comes alive with a lively and active nightlife scene. When you stay here, you'll be able to fully immerse yourself in everything that makes Puerto Viejo unique."
listing,Pappagallo,paragraphs[6],"The house is located close to beach access that eventually leads to Cocles. Along the way, you'll have the opportunity to spot a variety of animals and admire natural pools in the coral. There's even a hidden sightseeing spot waiting to be discovered!"
listing,Pappagallo,paragraphs[7],"Getting around in Puerto Viejo and its surroundings is easiest by renting a bike or a scooter. However, there is also a reliable public bus service available that can take you to Cahuita, Manzanillo, and Sixaola. If you prefer to drive, we can accommodate cars as well. We offer private parking but please let us know if you have a larger pickup truck that requires additional space."
listing,Plumeria,seoTitle,Casa Plumeria - Couples Retreat
listing,Plumeria,seoDescription,"New fully equipped Bungalows with A/C located 200mts from the beautiful Playa Chiquita beach, in one of the safest and calm neighborhoods in the Caribbean. A few minutes from Puerto Viejo and Manzanillo, we are perfectly located to visit Punta Uva beach and Arrecife."
listing,Plumeria,heading,Casa Plumeria
listing,Plumeria,featureName,House Plumeria
listing,Plumeria,checkIn,3:00 PM
listing,Plumeria,checkOut,12:00 PM (noon)
listing,Plumeria,paragraphs[0],"New fully equipped Bungalows with A/C located 200mts from the beautiful Playa Chiquita beach, in one of the safest and calm neighborhoods in the Caribbean. A few minutes from Puerto Viejo and Manzanillo, we are perfectly located to visit Punta Uva beach and Arrecife."
listing,Plumeria,paragraphs[1],"The space, completely private, has A/C, fully equipped kitchen, a private bathroom with hot water. The parking space is private, spacious and outside of the property. Every house has a small porch for our guests."
listing,Plumeria,paragraphs[2],"Close by you may find restaurants, supermarkets, and bike rentals. We trust our guests to follow common sense when leaving our house, that's why we have 0 check-out rules and no check-out list."
listing,Plumeria,paragraphs[3],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,Plumeria,paragraphs[4],"Puerto Viejo is a popular destination for tourists from all over the world, thanks to its stunning surroundings. The town boasts immense beaches that are surrounded by tropical rainforest, as well as two National Parks (Manzanillo and Cahuita). At night, the town comes alive with a lively and active nightlife scene. When you stay here, you'll be able to fully immerse yourself in everything that makes Puerto Viejo unique."
listing,Rana,seoTitle,Casa Rana - Puerto Viejo Vacation Home Rental
listing,Rana,seoDescription,"Nestled in the heart of town, this charming house comfortably accommodates up to 5 guests. It boasts a fully equipped kitchen, a bathroom, two A/C units, and a private parking space."
listing,Rana,heading,Casa Rana
listing,Rana,featureName,House Rana
listing,Rana,checkIn,2:00 PM
listing,Rana,checkOut,11:00 AM
listing,Rana,paragraphs[0],"Nestled in the heart of town, this charming house comfortably accommodates up to 5 guests. It boasts a fully equipped kitchen, a bathroom, two A/C units, and a private parking space. Our prime location ensures easy access to both the town center and the beaches of Puerto Viejo."
listing,Rana,paragraphs[1],"The house offers complete privacy, with all described spaces, including the kitchen and bathroom, exclusively for your use. You'll have all the amenities needed to feel at home."
listing,Rana,paragraphs[2],"You'll find most shops and restaurants within a short walking distance. Additionally, a nearby jungle path along the ocean leads to natural coral pools and Cocles."
listing,Rana,paragraphs[3],Have a special request? We are happy to accommodate if possible. Please don't hesitate to let us know.
listing,Rana,paragraphs[4],"Puerto Viejo is a well known destination for tourists from around the globe. The town features beautiful beaches bordered by lush tropical rainforest and is home to two National Parks, Manzanillo and Cahuita. At night, Puerto Viejo transforms with a vibrant nightlife scene. Staying here allows you to fully experience everything that makes Puerto Viejo special."
listing,Rana,paragraphs[5],"The house is conveniently situated near a beach path that eventually leads to Cocles. Along the path, you'll have the chance to observe diverse wildlife and enjoy natural coral pools. There's even a hidden sightseeing spot to discover!"
listing,Rana,paragraphs[6],"Getting around Puerto Viejo and its vicinity is best done by renting a bike or an electric bike. Additionally, the public bus service is available, connecting you to Cahuita, Manzanillo, and Sixaola. If you prefer driving, we can accommodate cars and provide private parking. Please inform us if you have a larger pickup truck that requires extra space."
listing,Rana,paragraphs[7],"The house is located close to beach access that eventually leads to Cocles. Along the way, you'll have the opportunity to spot a variety of animals and admire natural pools in the coral. There's even a hidden sightseeing spot waiting to be discovered!"
listing,Rana,paragraphs[8],"Getting around in Puerto Viejo and its surroundings is easiest by renting a bike or a scooter. However, there is also a reliable public bus service available that can take you to Cahuita, Manzanillo, and Sixaola. If you prefer to drive, we can accommodate cars as well. We offer private parking but please let us know if you have a larger pickup truck that requires additional space."
listing,Tucano,seoTitle,Casa Tucano - Like Nothing Else in Puerto Viejo
listing,Tucano,seoDescription,"This house offers a delightful experience in the heart of Puerto Viejo with a charming wooden apartment located above an Italian bakery. The apartment features two comfortable bedrooms, a well-equipped bathroom, a fully equipped kitchen, a lovely terrace, and two A/C units."
listing,Tucano,heading,Casa Tucano
listing,Tucano,featureName,House Tucano
listing,Tucano,checkIn,2:00 PM
listing,Tucano,checkOut,11:00 AM
listing,Tucano,paragraphs[0],"This house offers a delightful experience in the heart of Puerto Viejo with a charming wooden apartment located above an Italian bakery. The apartment features two comfortable bedrooms, a well-equipped bathroom, a fully equipped kitchen, a lovely terrace, and two A/C units, ensuring a cozy stay."
listing,Tucano,paragraphs[1],"These apartments provide private spaces, including the kitchen and bathroom, offering everything you need to feel at home. For stays of 5 nights or more, we provide complimentary cleaning services, and our team will coordinate a suitable time with you during your visit."
listing,Tucano,paragraphs[2],"If you have any special requests, we're happy to accommodate them whenever possible, so don't hesitate to let us know. Should you need a pack-and-play crib for your stay, please inform us in advance, and we'll ensure it's set up in your room during the cleaning process."
listing,Tucano,paragraphs[3],"Puerto Viejo attracts visitors from all over the globe with its breathtaking landscapes. The town is renowned for its expansive beaches bordered by tropical rainforests and features two National Parks, Manzanillo and Cahuita. The nightlife here is vibrant and lively, offering a unique experience after dark. Staying in Puerto Viejo allows you to fully immerse yourself in its unique charm."
listing,Tucano,paragraphs[4],"Our house is conveniently located near a beach path that leads eventually to Cocles. On your way, you can observe a variety of wildlife and enjoy the natural coral pools. A hidden sightseeing spot is also waiting to be explored!."
listing,Tucano,paragraphs[5],"Exploring Puerto Viejo and its surroundings is most convenient by renting a bike or a scooter. Additionally, there is a good public bus service available that connects you to Cahuita, Manzanillo, and Sixaola. If you prefer driving, we provide private parking. Please inform us if you have a larger pickup truck that needs extra space."
listing,VillaCoral,seoTitle,Villa Coral - Home with private pool in Playa Chiquita
listing,VillaCoral,seoDescription,"Discover the perfect retreat in Playa Chiquita, Puerto Viejo. Our newly built luxury villa offers an ideal vacation experience, combining comfort and convenience in a serene tropical setting."
listing,VillaCoral,heading,Villa Coral
listing,VillaCoral,featureName,Villa Coral
listing,VillaCoral,checkIn,3:00 PM
listing,VillaCoral,checkOut,12:00 PM (noon)
listing,VillaCoral,paragraphs[0],"Discover the perfect retreat in Playa Chiquita, Puerto Viejo. Our newly built luxury villa offers an ideal vacation experience, combining comfort and convenience in a serene tropical setting."
listing,VillaCoral,paragraphs[1],Stay connected with high-speed internet up to 100Mbps and take advantage of the dedicated workspace if you need to attend to tasks during your visit.
listing,VillaCoral,paragraphs[2],"The villa, boasting a private pool, kitchen and bathroom, has been decorated by Puerto Rican Interior designer Lourdes Menéndez"
listing,VillaCoral,paragraphs[3],"Relax and unwind in your own private paradise with a pristine pool just for you. The villa features a spacious main bedroom and living room, both equipped with air conditioning to escape the heat."
listing,VillaCoral,paragraphs[4],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,VillaCoral,paragraphs[5],"If you require a pack- and - play crib during your stay, please inform us ahead of time. We'll make sure to set it up in your room during our cleaning process."
listing,VillaCoral,paragraphs[6],"Explore the beauty of Playa Chiquita, Punta Uva and the vibrant culture of Puerto Viejo, all while having a comfortable home base to return to. Make the most of your Costa Rican getaway with this inviting villa as your accommodation."
listing,VillaCoral,paragraphs[7],"Getting around in Puerto Viejo and its surroundings is easiest by renting a bike or a scooter. However, there is also a reliable public bus service available that can take you to Cahuita, Manzanillo, and Sixaola. If you prefer to drive, we can accommodate cars as well. We offer private parking but please let us know if you have a larger pickup truck that requires additional space."
listing,VillaMar,seoTitle,Villa Mar - Home with private pool in Playa Chiquita
listing,VillaMar,seoDescription,"Discover the perfect retreat in Playa Chiquita, Puerto Viejo. Our newly built luxury villa offers an ideal vacation experience, combining comfort and convenience in a serene tropical setting."
listing,VillaMar,heading,Villa Mar
listing,VillaMar,featureName,Villa Mar
listing,VillaMar,checkIn,3:00 PM
listing,VillaMar,checkOut,12:00 PM (noon)
listing,VillaMar,paragraphs[0],"Discover the perfect retreat in Playa Chiquita, Puerto Viejo. Our newly built luxury villa offers an ideal vacation experience, combining comfort and convenience in a serene tropical setting."
listing,VillaMar,paragraphs[1],Stay connected with high-speed internet up to 100Mbps and take advantage of the dedicated workspace if you need to attend to tasks during your visit.
listing,VillaMar,paragraphs[2],"The villa, boasting a private pool, kitchen and bathroom, has been decorated by Puerto Rican Interior designer Lourdes Menéndez"
listing,VillaMar,paragraphs[3],"Relax and unwind in your own private paradise with a pristine pool just for you. The villa features a spacious main bedroom and living room, both equipped with air conditioning to escape the heat."
listing,VillaMar,paragraphs[4],Do you have a special request? We would be more than happy to accommodate you if we can. Please don't hesitate to let us know.
listing,VillaMar,paragraphs[5],"If you require a pack- and - play crib during your stay, please inform us ahead of time. We'll make sure to set it up in your room during our cleaning process."
listing,VillaMar,paragraphs[6],"Explore the beauty of Playa Chiquita, Punta Uva and the vibrant culture of Puerto Viejo, all while having a comfortable home base to return to. Make the most of your Costa Rican getaway with this inviting villa as your accommodation."
listing,VillaMar,paragraphs[7],"Getting around in Puerto Viejo and its surroundings is easiest by renting a bike or a scooter. However, there is also a reliable public bus service available that can take you to Cahuita, Manzanillo, and Sixaola. If you prefer to drive, we can accommodate cars as well. We offer private parking but please let us know if you have a larger pickup truck that requires additional space."
blog,tenHoursInPuerto,seoTitle,Ten hours to explore Cahuita
blog,tenHoursInPuerto,seoDescription,"If you only have ten hours to explore Cahuita, let's make the most of our time! We start our adventure early, waking up at 7 am. The first thing is to have a coffee and enjoy a delicious ham and cheese croissant fresh out of the oven at Degustibus Bakery."
blog,tenHoursInPuerto,heading,Ten hours to explore Cahuita
blog,tenHoursInPuerto,paragraphsBeforeStay[0],"If you only have ten hours to explore Cahuita, let's make the most of our time! We start our adventure early, waking up at 7 am. The first thing is to have a coffee and enjoy a delicious ham and cheese croissant fresh out of the oven at Degustibus Bakery."
blog,tenHoursInPuerto,paragraphsBeforeStay[1],"After the delicious breakfast, we walked to the bus stop located near the town's basketball court, in front of the Deelite ice cream shop. It's important to know that there are two bus stops in the area: the larger one is for the MEPE buses going to San José, and the smaller one is for the buses going to Limón. We'll take the latter. You can buy the ticket on the same day or pay directly when boarding the bus. The ticket office is a small booth next to the shuttle."
blog,tenHoursInPuerto,paragraphsBeforeStay[2],"We take the bus that passes by our stop at 8:20 am. The journey takes approximately 30 minutes, and we get off at the main terminal in Cahuita, which is very close to our first destination: Cahuita National Park. With the help of Google Maps and the locals, we head in the direction, observing the hustle of the town as they prepare to welcome tourists."
blog,tenHoursInPuerto,paragraphsBeforeStay[3],"Cahuita National Park is open from 8 am to 4 pm in both sectors: Playa Blanca and Puerto Vargas. Today we will visit Playa Blanca, where the entrance is free, although a voluntary contribution is accepted. Remember that, being a national park, the entry of domestic animals and alcoholic beverages is not allowed."
blog,tenHoursInPuerto,stayRecommendationTitle,Where to stay when exploring Cahuita?
blog,tenHoursInPuerto,paragraphsAfterStay[0],"We arrive at the park at 9:15 am, just when the sun starts to warm up. We hire a guide for our hike since we want to learn about the park's biodiversity and observe species that are sometimes hard to see on our own. We manage to see different animals like bird species, as well as hear and see howler monkeys, sloths, and many species of flora. The hike took approximately two hours."
blog,tenHoursInPuerto,paragraphsAfterStay[1],"After the hike, we went straight to have lunch at a typical soda called Kawe, where we enjoyed a delicious rice and beans that gave us the energy to continue exploring this calm and beautiful town. Then, we took a stroll through the town's shops, where we bought some souvenirs."
blog,tenHoursInPuerto,paragraphsAfterStay[2],"Our next stop was some beautiful natural pools we had heard about and were eager to see. We were amazed by this place! Natural pools in a less crowded area, perfect for relaxing."
blog,tenHoursInPuerto,paragraphsAfterStay[3],"We still have a few hours left, and at 4 pm we head back to the center of Cahuita to enjoy a delicious Pati at Delrita, whose reputation is well-deserved—it's delicious! Thus, we are wrapping up our day. We head to the bus terminal to catch the 5:15 pm bus to Puerto Viejo, leaving with a desire to return to this beautiful Caribbean town."
blog,puertoViejoByPlane,seoTitle,Getting to Puerto Viejo By Plane
blog,puertoViejoByPlane,seoDescription,"Getting to Puerto Viejo by plane is easier than you might think. In this article, we'll show you how to travel from any destination to Puerto Viejo by taking a domestic flight from San Jose to Limón."
blog,puertoViejoByPlane,heading,Getting to Puerto Viejo By Plane
blog,puertoViejoByPlane,heroAlt,Flying to Puerto Viejo Costa Rica
blog,puertoViejoByPlane,intro,"Getting to Puerto Viejo by plane is easier than you might think. In this article, we'll show you how to travel from any destination to Puerto Viejo by taking a domestic flight from San Jose to Limón."
blog,puertoViejoByPlane,stayRecommendationTitle,Where to stay when flying to Puerto Viejo?
blog,puertoViejoByPlane,bodyParagraphs[0],"To book your flight, simply visit flysansa.com and select your travel dates and times. You will then be prompted to enter your personal and payment details to complete your booking. It's important to note that Sansa Airlines offers several flight options throughout the day, making it easy to find a flight that fits your schedule."
